order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
47d19aff-d177-48f5-a6a2-31a7bac2bfaf,9d4158ba-aec0-4578-b150-992c08bc8475,Jamie Porter,134adff7-3fbe-41cb-b416-2d9014a82012,Headphones,Electronics,card,9.0,319.01,2022-06-07 08:29:17,Canada,Reidton,Myntra,4a05484f-958f-4697-854d-56d8bbfabae5,Y,No Failure
046b21f0-dcde-458c-96be-a5111dbf496e,64739806-004e-4622-b2af-3028f64fd7db,Ricardo Lynch,2db443d1-d1ce-487e-820a-8296b90bb529,Novel,Books,UPI,1.0,204.86,2020-08-26 14:21:38,Germany,Johnstonshire,Myntra,ef033396-47a1-4d0e-b889-52ee6481da05,Y,No Failure
9eaecca6-97ed-4e5c-bb97-11e4ccfa54c4,99ff13f7-259e-48d0-9daf-f49ded3a1a15,Christopher Ryan,06273416-cb84-4b29-8481-b24ce06f529f,Eggs,Grocery,Wallet,9.0,30.41,2021-08-16 22:02:48,United States,Catherinemouth,Meesho,0b021a04-c89f-44f6-94f7-81c907b9f6a7,N,Available sound follow budget property.
c9e4143b-6177-4a0d-8232-e48e9285d786,a8ff2da2-30ef-46aa-ba62-9c573e8f6ba1,Mark Hudson,0950112c-0743-4d4f-bfaa-33051f282246,Jacket,Clothing,Internet Banking,9.0,173.5,2020-07-31 23:31:29,Brazil,New Gwendolynfurt,Meesho,70690ea2-2a2c-4c5b-be8b-ba2e7ac1d0ae,Y,No Failure
50aabe84-18e4-4d03-bc22-6a10a435da3b,8283422c-b5f6-4478-90df-68f98c0f3b7a,Amanda Nguyen,015d49eb-65f3-4e01-9ec2-dadd3a2f6f09,Golf Club,Sports,Wallet,5.0,406.38,2024-08-01 23:02:10,Canada,East Francis,eBay,59a109e0-75a3-421c-9f27-375b966ec57a,Y,No Failure
efc31fb6-804c-4f75-a23f-bc10fa30cf05,e8da3d75-1b61-4e9b-a440-2d3bad1a7cf2,Lindsay Bishop,aab189dc-012b-49e6-996c-59eab8eae731,Smartphone,Electronics,UPI,7.0,499.07,2022-11-09 12:18:23,Germany,West Maria,Flipkart,38e89e9a-b3bd-43bb-92a3-388f9b6b3142,Y,No Failure
5ecd06fa-f8ba-461c-af72-fd7d8aa9b580,08b22b81-ca29-4cc0-8990-96e3e46b9076,Anthony Strong,c61ac65e-5cfa-4b63-a917-c2ff91ba8e82,Biography,Books,Wallet,2.0,197.15,2022-07-31 22:31:09,Brazil,Port Rosefort,Myntra,20422395-a6cf-4e25-9ed1-841fa1c471e3,N,Push method president stock book add day.
6c9a144a-6630-4dd4-b161-8b9a0a8ae3da,6958e56c-0cfd-4792-ae6d-1c6e9963950a,Donna Smith,e44d6325-28b9-4184-86bd-034403fa2603,Bed,Furniture,Wallet,4.0,66.19,2024-05-18 07:43:35,Brazil,Aprilhaven,Myntra,ec70524c-18d3-4322-8cbb-0a22a3697923,Y,No Failure
4a970cd1-24b2-42c6-8c02-c44610429dda,2ceec73e-6899-4040-a350-107ed033d792,Lisa Hernandez,46b3fa8a-2435-42c6-bac7-86fda16a2536,Headphones,Electronics,card,3.0,106.95,2020-06-04 04:02:46,United States,Barrymouth,Myntra,2d25aaeb-e9e5-47df-b74a-e5fba22976aa,N,Surface instead it remember under traditional.
4e3b5517-e2db-4732-9a28-e00fc2969721,cf1dbd1f-e2eb-4971-97b4-2f18ca8fd296,Stacey Fernandez,aa165c82-10dd-4342-abe4-dbef7822bad5,Cookbook,Books,Internet Banking,4.0,25.79,2023-10-06 09:58:52,Australia,Lake Jason,Amazon,915715f7-cd3e-4df3-874f-ae61f9a10634,N,Work arm my father hundred fly energy.
